name,timestamp,run,total_runtime,pi_approximate,saveMode,slices,output,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sparkpi,1543383231661,0,4191182306,3.141211141211141,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383239343,0,1212968354,3.1413611141361115,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383240721,0,6469988912,3.141595391415954,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383247405,1,121396702,3.1425751425751427,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383247637,1,571799638,3.1410987141098716,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383248334,1,5088528414,3.1415741514157416,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383253656,2,97229570,3.1384231384231382,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383253816,2,585866983,3.1416147141614714,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383254566,2,4399998033,3.141612391416124,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383259100,3,76079734,3.1451871451871454,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383259231,3,463672161,3.1413655141365515,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383259806,3,3948504853,3.1416751514167514,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383263881,4,92019873,3.1452351452351452,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383264016,4,531146944,3.141787914178791,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383264641,4,3990685996,3.1414362314143625,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383268746,5,87025895,3.142163142163142,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383268873,5,453697706,3.1420175142017515,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383269417,5,3724046160,3.141504711415047,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383273258,6,70078044,3.142671142671143,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383273367,6,417885432,3.1416547141654716,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383273873,6,3748807646,3.14178299141783,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383277721,7,68161376,3.143747143747144,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383277820,7,451934765,3.1419755141975516,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383278342,7,3712730032,3.1414806314148063,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383282146,8,86988586,3.139295139295139,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383282334,8,387053767,3.1417651141765113,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383282767,8,3923100514,3.1418342714183427,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383286770,9,75004138,3.1417471417471416,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383286892,9,397318133,3.1426855142685515,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
sparkpi,1543383287332,9,3521881015,3.1416032314160325,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,41379,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,500M,app-20181128053349-0007,Spark Pi at 500M executor-mem
